FromCity,ToCity,Distance
"New Delhi, Delhi India IN","New Delhi, Delhi India IN",0
"New Delhi, Delhi India IN","Mumbai, Maharashtra India IN",1158.72
"New Delhi, Delhi India IN","Bengaluru, Karnataka, India",1738.78
"New Delhi, Delhi India IN","Chennai, Tamil Nadu India IN",1753.95
"New Delhi, Delhi India IN","Kolkata, Bengal India IN",1304.48
"New Delhi, Delhi India IN","Hyderabad, Andhra Pradesh India IN",1254.84
"New Delhi, Delhi India IN","Pune, Maharashtra India IN",1169.52
"New Delhi, Delhi India IN","Ahmadabad, Gujarat India IN",770.23
"New Delhi, Delhi India IN","Jaipur, Rajasthan India IN",231.42
"New Delhi, Delhi India IN","Lucknow, Uttar Pradesh India IN",414.31
"New Delhi, Delhi India IN","Kanpur, Uttar Pradesh India IN",390.77
"New Delhi, Delhi India IN","Nagpur, Maharashtra India IN",850.2
"New Delhi, Delhi India IN","Surat, Gujarat India IN",936.3
"New Delhi, Delhi India IN","Bhopal, Madhya Pradesh India IN",593.35
"New Delhi, Delhi India IN","Indore, India IN",668.19
"New Delhi, Delhi India IN","Patna, Bihar India IN",851.39
"New Delhi, Delhi India IN","Ludhiana, Punjab India IN",287.02
"New Delhi, Delhi India IN","Thane, Maharashtra India IN",1130.01
"New Delhi, Delhi India IN","Agra, Uttar Pradesh India IN",176.78
"New Delhi, Delhi India IN","Varanasi, Uttar Pradesh, India",679.51
"New Delhi, Delhi India IN","Meerut, Uttar Pradesh India IN",64.73
"New Delhi, Delhi India IN","Vadodara, Gujarat India IN",807.27
"New Delhi, Delhi India IN","Allahabad, Uttar Pradesh India IN",578.52
"New Delhi, Delhi India IN","Ranchi, Jharkhand India IN",1000.35
"New Delhi, Delhi India IN","Coimbatore, Tamil Nadu India IN",1957.09
"New Delhi, Delhi India IN","Kochi, Kerala, India",2077.55
"New Delhi, Delhi India IN","Mysore, Karnataka India IN",1812.49
"New Delhi, Delhi India IN","Amritsar, Punjab India IN",405.12
"New Delhi, Delhi India IN","Vishakhapatnam, Andhra Pradesh India IN",1362.32
"New Delhi, Delhi India IN","Madurai, Tamil Nadu India IN",2077.74
"New Delhi, Delhi India IN","Vijayawada, Andhra Pradesh India IN",1388.34
"New Delhi, Delhi India IN","Bhubaneshwar, Orissa India IN",1275.54
"New Delhi, Delhi India IN","Jodhpur, Rajasthan India IN",485.2
"New Delhi, Delhi India IN","Raipur, Chhattisgarh India IN",932.9
"New Delhi, Delhi India IN","Chandigarh, Chandigarh India IN",240.96
"New Delhi, Delhi India IN","Guwahati, Assam India IN",1458.73
"New Delhi, Delhi India IN","Dehra Dun, Uttarakhand India IN",207.22
"New Delhi, Delhi India IN","Noida, Uttar Pradesh, India IN",12.62
"New Delhi, Delhi India IN","Gurgoan, Handia, Uttar Pradesh, India",599.66
"New Delhi, Delhi India IN","Faridabad, Haryana India IN",21.76
"New Delhi, Delhi India IN","Ghaziabad, Uttar Pradesh India IN",23.95
"New Delhi, Delhi India IN","Jamshedpur, Jharkhand India IN",1106.57
"New Delhi, Delhi India IN","Rajkot, Gujarat India IN",951.29
"New Delhi, Delhi India IN","Kota, Rajasthan India IN",403.34
"New Delhi, Delhi India IN","Warangal, Andhra Pradesh India IN",1203.37
"New Delhi, Delhi India IN","Jalandhar, Punjab India IN",340.89
"New Delhi, Delhi India IN","Salem, Tamil Nadu India IN",1887.34
"New Delhi, Delhi India IN","Aligarh, Uttar Pradesh India IN",117.63
"New Delhi, Delhi India IN","Moradabad, Uttar Pradesh India IN",156.56
"New Delhi, Delhi India IN","Guntur, Andhra Pradesh India IN",1407.59
"Mumbai, Maharashtra India IN","New Delhi, Delhi India IN",1158.72
"Mumbai, Maharashtra India IN","Mumbai, Maharashtra India IN",0
"Mumbai, Maharashtra India IN","Bengaluru, Karnataka, India",839.71
"Mumbai, Maharashtra India IN","Chennai, Tamil Nadu India IN",1030.55
"Mumbai, Maharashtra India IN","Kolkata, Bengal India IN",1663.69
"Mumbai, Maharashtra India IN","Hyderabad, Andhra Pradesh India IN",622.63
"Mumbai, Maharashtra India IN","Pune, Maharashtra India IN",120.09
"Mumbai, Maharashtra India IN","Ahmadabad, Gujarat India IN",451.77
"Mumbai, Maharashtra India IN","Jaipur, Rajasthan India IN",934.5
"Mumbai, Maharashtra India IN","Lucknow, Uttar Pradesh India IN",1204.79
"Mumbai, Maharashtra India IN","Kanpur, Uttar Pradesh India IN",1134.88
"Mumbai, Maharashtra India IN","Nagpur, Maharashtra India IN",698.4
"Mumbai, Maharashtra India IN","Surat, Gujarat India IN",243.69
"Mumbai, Maharashtra India IN","Bhopal, Madhya Pradesh India IN",672.78
"Mumbai, Maharashtra India IN","Indore, India IN",520.39
"Mumbai, Maharashtra India IN","Patna, Bihar India IN",1462.21
"Mumbai, Maharashtra India IN","Ludhiana, Punjab India IN",1360.34
"Mumbai, Maharashtra India IN","Thane, Maharashtra India IN",29.07
"Mumbai, Maharashtra India IN","Agra, Uttar Pradesh India IN",1055.53
"Mumbai, Maharashtra India IN","Varanasi, Uttar Pradesh, India",1262.81
"Mumbai, Maharashtra India IN","Meerut, Uttar Pradesh India IN",1217.6
"Mumbai, Maharashtra India IN","Vadodara, Gujarat India IN",371.75
"Mumbai, Maharashtra India IN","Allahabad, Uttar Pradesh India IN",1174.57
"Mumbai, Maharashtra India IN","Ranchi, Jharkhand India IN",1384.4
"Mumbai, Maharashtra India IN","Coimbatore, Tamil Nadu India IN",991.82
"Mumbai, Maharashtra India IN","Kochi, Kerala, India",1070.79
"Mumbai, Maharashtra India IN","Mysore, Karnataka India IN",846.79
"Mumbai, Maharashtra India IN","Amritsar, Punjab India IN",1422.2
"Mumbai, Maharashtra India IN","Vishakhapatnam, Andhra Pradesh India IN",1114.35
"Mumbai, Maharashtra India IN","Madurai, Tamil Nadu India IN",1155.16
"Mumbai, Maharashtra India IN","Vijayawada, Andhra Pradesh India IN",869.01
"Mumbai, Maharashtra India IN","Bhubaneshwar, Orissa India IN",1369.26
"Mumbai, Maharashtra India IN","Jodhpur, Rajasthan India IN",813.25
"Mumbai, Maharashtra India IN","Raipur, Chhattisgarh India IN",953.11
"Mumbai, Maharashtra India IN","Chandigarh, Chandigarh India IN",1367.2
"Mumbai, Maharashtra India IN","Guwahati, Assam India IN",2097.11
"Mumbai, Maharashtra India IN","Dehra Dun, Uttarakhand India IN",1365.93
"Mumbai, Maharashtra India IN","Noida, Uttar Pradesh, India IN",1162.03
"Mumbai, Maharashtra India IN","Gurgoan, Handia, Uttar Pradesh, India",1202.58
"Mumbai, Maharashtra India IN","Faridabad, Haryana India IN",1146.42
"Mumbai, Maharashtra India IN","Ghaziabad, Uttar Pradesh India IN",1174.75
"Mumbai, Maharashtra India IN","Jamshedpur, Jharkhand India IN",1450.59
"Mumbai, Maharashtra India IN","Rajkot, Gujarat India IN",426.42
"Mumbai, Maharashtra India IN","Kota, Rajasthan India IN",756.57
"Mumbai, Maharashtra India IN","Warangal, Andhra Pradesh India IN",720.73
"Mumbai, Maharashtra India IN","Jalandhar, Punjab India IN",1400.76
"Mumbai, Maharashtra India IN","Salem, Tamil Nadu India IN",995.41
"Mumbai, Maharashtra India IN","Aligarh, Uttar Pradesh India IN",1126
"Mumbai, Maharashtra India IN","Moradabad, Uttar Pradesh India IN",1251.71
"Mumbai, Maharashtra India IN","Guntur, Andhra Pradesh India IN",860.75
"Bengaluru, Karnataka, India","New Delhi, Delhi India IN",1738.78
"Bengaluru, Karnataka, India","Mumbai, Maharashtra India IN",839.71
"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",0
